lon,lat,time,elevation,som,moisture,temp,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12
142.1300946,-36.74497654,1/04/2022,131.1,3.105,33.75,25.1,1098,1384,1858,2055,2110,2265,2432,2498,4082,2922
142.130118,-36.74496994,1/04/2022,131.0,3.085,34.6,25.15,1052,1328,1798,2055,2110,2265,2354,2498,4082,2922
142.1301393,-36.74495954,1/04/2022,131.0,3.045,35.3,25.22,1052,1328,1798,2055,2110,2265,2354,2498,4082,2922
142.1301617,-36.74495104,1/04/2022,130.9,3.055,34.48,25.42,1052,1328,1798,2055,2110,2265,2354,2498,4082,2922
142.1301851,-36.74494434,1/04/2022,130.9,3.035,34.3,25.33,1052,1328,1798,2055,2110,2265,2354,2498,4082,2922
142.1302075,-36.74493574,1/04/2022,130.8,3.01,34.13,25.38,1052,1328,1798,2055,2110,2265,2354,2498,4082,2922
142.1302287,-36.74492534,1/04/2022,130.8,2.925,31.25,25.46,1015,1306,1790,2047,2124,2273,2358,2489,4054,2877
142.1302511,-36.74491694,1/04/2022,130.7,2.88,31.13,25.53,1015,1306,1790,2047,2124,2273,2358,2489,4054,2877
142.1302745,-36.74491024,1/04/2022,130.7,2.875,31.52,25.33,1015,1306,1790,2047,2124,2273,2358,2489,4054,2877
142.1302958,-36.74489994,1/04/2022,130.6,2.91,31.13,25.15,1120,1378,1858,2047,2124,2273,2436,2489,4054,2877
142.1303188,-36.74489354,1/04/2022,130.6,2.87,29.3,25.24,1120,1378,1858,2047,2124,2273,2436,2489,4054,2877
142.1303395,-36.74488334,1/04/2022,130.5,2.725,30.28,25.31,1050,1344,1814,2047,2124,2273,2402,2489,4054,2877
142.1303607,-36.74487412,1/04/2022,130.5,2.755,29.53,26.67,1050,1344,1814,2047,2124,2273,2402,2489,4054,2877
142.1303782,-36.74485702,1/04/2022,130.5,2.695,29.43,27.1,1050,1344,1814,2047,2124,2273,2402,2489,4054,2877
142.1303973,-36.74484004,1/04/2022,130.4,2.695,30.28,26.61,1050,1344,1814,2047,2124,2273,2402,2489,4054,2877
142.1304187,-36.74482302,1/04/2022,130.3,2.705,30.08,26.33,1050,1344,1814,2047,2124,2273,2402,2489,4054,2877
142.1304429,-36.74481038,1/04/2022,130.3,2.745,30.05,26.03,1032,1336,1830,1997,2042,2200,2426,2491,4064,2844
142.1304682,-36.74480331,1/04/2022,130.2,2.83,29.45,25.44,1028,1306,1816,1883,2094,2225,2250,2556,3840,2741
142.130492,-36.74480443,1/04/2022,130.2,2.965,29.45,24.88,1028,1306,1816,1883,2094,2225,2250,2556,3840,2741
142.1305139,-36.74481258,1/04/2022,130.1,3.1,29.9,24.78,1028,1306,1816,1883,2094,2225,2250,2556,3840,2741
142.1305352,-36.74482309,1/04/2022,130.1,3.055,26.7,24.46,1040,1310,1802,2050,2082,2299,2478,2536,4046,2890
142.1305573,-36.74483752,1/04/2022,130.0,3.0,25.1,24.54,1040,1310,1802,2050,2082,2299,2478,2536,4046,2890
142.130581,-36.74484882,1/04/2022,130.0,2.985,24.23,24.22,1038,1328,1832,2050,2082,2299,2436,2536,4046,2890
