lat,lon,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12
5934005.0,600725.0,878,1158,1438,1719,2098,2214,2344,2493,3691,2497
5934005.0,600735.0,938,1200,1476,1719,2098,2214,2492,2493,3691,2497
5934005.0,600745.0,888,1194,1448,1829,2199,2349,2554,2574,3706,2595
5934005.0,600755.0,902,1230,1474,1829,2199,2349,2562,2574,3706,2595
5934005.0,600765.0,1052,1336,1692,1904,2103,2277,2484,2561,3690,2685
5934005.0,600775.0,1036,1344,1726,1904,2103,2277,2436,2561,3690,2685
5934005.0,600785.0,903,1178,1472,1778,2088,2280,2392,2516,3384,2502
5934005.0,600795.0,749,1026,1264,1778,2088,2280,2436,2516,3384,2502
5934005.0,600805.0,542,880,1002,1421,1910,2110,2172,2406,2829,2076
5934005.0,600815.0,384,654,686,1421,1910,2110,2036,2406,2829,2076
5934005.0,600825.0,370,578,642,1265,1908,2169,2176,2398,2308,1691
5934005.0,600835.0,448,712,784,1265,1908,2169,2320,2398,2308,1691
5934005.0,600845.0,658,858,1078,1226,1744,1936,2150,2180,2202,1574
5934005.0,600855.0,710,985,1244,1226,1744,1936,1914,2180,2202,1574
5934005.0,600865.0,695,888,1092,1348,1586,1730,1554,1908,2313,1658
5934005.0,600875.0,624,838,1042,1348,1586,1730,1524,1908,2313,1658
5934005.0,600885.0,672,830,1000,1312,1644,1778,1678,1977,2647,1885
5934005.0,600895.0,708,926,1090,1312,1644,1778,2066,1977,2647,1885
5934005.0,600905.0,715,934,1116,1404,1774,1881,2054,2052,3042,2113
5934005.0,600915.0,744,984,1226,1404,1774,1881,2136,2052,3042,2113
5934005.0,600925.0,780,1002,1238,1518,1851,1990,2120,2213,3361,2386
5934005.0,600935.0,810,1112,1400,1518,1851,1990,2210,2213,3361,2386
5934005.0,600945.0,901,1110,1488,1654,1833,2009,2154,2213,3614,2584
5934005.0,600955.0,870,1158,1564,1654,1833,2009,2242,2213,3614,2584
5934005.0,600965.0,950,1180,1602,1895,2074,2179,2298,2396,3807,2714
5934005.0,600975.0,1028,1308,1756,1895,2074,2179,2524,2396,3807,2714
5934005.0,600985.0,1036,1326,1788,2062,2208,2367,2566,2672,3770,2665
5934005.0,600995.0,968,1312,1770,2062,2208,2367,2618,2672,3770,2665
5934005.0,601005.0,819,1150,1434,1581,1951,2138,2540,2269,3000,2101
5934005.0,601015.0,656,902,1086,1581,1951,2138,1976,2269,3000,2101
5934005.0,601025.0,607,922,1054,1309,2041,2141,2666,2467,2713,1862
5934005.0,601035.0,543,919,1110,1309,2041,2141,2640,2467,2713,1862
5934005.0,601045.0,722,1010,1340,1602,2007,2163,2340,2583,3287,2277
5934005.0,601055.0,904,1274,1778,1602,2007,2163,2724,2583,3287,2277
5934005.0,601065.0,1024,1396,1980,2305,2594,2782,2954,3183,4166,3210
5934005.0,601075.0,1126,1518,2116,2305,2594,2782,3052,3183,4166,3210
5934005.0,601085.0,1086,1454,2056,2103,2279,2446,2856,2745,4194,3198
5934005.0,601095.0,900,1148,1518,2103,2279,2446,2442,2745,4194,3198
5934005.0,601105.0,966,1222,1602,1777,1977,2094,2334,2403,4099,2912
5934005.0,601115.0,957,1184,1620,1777,1977,2094,2292,2403,4099,2912
5934005.0,601125.0,846,1068,1462,1704,1823,1927,2110,2225,4099,2851
5934005.0,601135.0,830,1070,1436,1704,1823,1927,2028,2225,4099,2851
5934005.0,601145.0,802,1066,1466,1651,1736,1897,2062,2167,4036,2833
5934005.0,601155.0,830,1044,1438,1651,1736,1897,2010,2167,4036,2833
5934005.0,601165.0,790,1038,1448,1629,1732,1869,2002,2141,4000,2779
5934005.0,601175.0,814,1034,1436,1629,1732,1869,2002,2141,4000,2779
5934005.0,601185.0,802,1050,1446,1654,1754,1880,2070,2158,4020,2799
5934005.0,601195.0,867,1052,1436,1654,1754,1880,2042,2158,4020,2799
5934005.0,601205.0,808,1044,1442,1605,1719,1835,2020,2124,4033,2797
5934005.0,601215.0,803,1032,1438,1605,1719,1835,1972,2124,4033,2797
5934005.0,601225.0,800,994,1382,1574,1664,1805,1964,2064,3958,2762
5934005.0,601235.0,756,976,1368,1574,1664,1805,1926,2064,3958,2762
5934005.0,601245.0,780,987,1362,1569,1654,1796,1924,2095,3952,2752
5934005.0,601255.0,776,1006,1390,1569,1654,1796,1946,2095,3952,2752
5934005.0,601265.0,786,1009,1416,1602,1709,1840,1980,2099,3980,2757
